# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
136 -3.1860639612501546e-01 -6.7707305642543258e-01 2.6796577533159196e+00 2.6048091681427593e-01 -2.8571922386037421e+00 -1.6002240773058167e+00
137 -2.9395256652222640e-01 -6.7928430194166500e-01 2.6964672902676261e+00 3.9607281132177402e-01 -2.8527982913264607e+00 -1.5608659558384101e+00
138 -2.7247068312146527e-01 -6.8818238939157772e-01 2.7059888191542663e+00 5.2760742802772242e-01 -2.8436484807382376e+00 -1.5093398710816901e+00
139 -2.5347420632771922e-01 -7.0405169278653146e-01 2.7113410483960205e+00 6.5361508634914744e-01 -2.8267452389327596e+00 -1.4458067437291700e+00
140 -2.3610173423908479e-01 -7.2664642056615780e-01 2.7118941232983040e+00 7.7263385341081181e-01 -2.7946860483513363e+00 -1.3706103997079286e+00
141 -2.1940501082768757e-01 -7.5519700070325391e-01 2.7043152630418552e+00 8.8323701063664317e-01 -2.7365172798930315e+00 -1.2842798281006320e+00
142 -2.0244072745077141e-01 -7.8845457678569619e-01 2.6840045600889972e+00 9.8406122305091370e-01 -2.6395423189697196e+00 -1.1875274371181244e+00
143 -1.8435812721340100e-01 -8.2477084962782510e-01 2.6465168956675469e+00 1.0738347180546599e+00 -2.4917274722786371e+00 -1.0812431409190408e+00
144 -1.6447493921709838e-01 -8.6220782586846090e-01 2.5887587590294996e+00 1.1514047428014362e+00 -2.2842053594872982e+00 -9.6648423041878928e-01
145 -1.4233530545281631e-01 -8.9866975039445296e-01 2.5098127255524982e+00 1.2157635550076067e+00 -2.0133148032857333e+00 -8.4446110952483777e-01
146 -1.1774501677484508e-01 -9.3204778035913893e-01 2.4111884782046125e+00 1.2660722128563990e+00 -1.6816405508812218e+00 -7.1651910973622113e-01
147 -9.0781403927674073e-02 -9.6036693950480956e-01 2.2963773541496417e+00 1.3016814663153469e+00 -1.2977538334216649e+00 -5.8411672563146211e-01
148 -6.1777462856832610e-02 -9.8192465371815174e-01 2.1698777786695609e+00 1.3221491142867134e+00 -8.7480906902648592e-01 -4.4880073617834543e-01
149 -3.1282042544634611e-02 -9.9541073385818124e-01 2.0361283330149664e+00 1.3272532780057031e+00 -4.2856724694191656e-01 -3.1217878688653078e-01
150 -1.8369701987210297e-16 -1.0000000000000000e+00 1.8987956340615550e+00 1.3170011483361594e+00 2.4482717192753280e-02 -1.7589010082443210e-01
151 3.1282042544634243e-02 -9.9541073385818124e-01 1.7606313845406734e+00 1.2916328894207234e+00 4.6847530577517282e-01 -4.1575058297270109e-02
152 6.1777462856832235e-02 -9.8192465371815174e-01 1.6238265845471853e+00 1.2516205189990726e+00 8.8894759143567770e-01 8.9155567752800285e-02
153 9.0781403927674545e-02 -9.6036693950480911e-01 1.4906017941265104e+00 1.1976617314443339e+00 1.2732975557507129e+00 2.1475091306863445e-01
154 1.1774501677484478e-01 -9.3204778035913916e-01 1.3637083550009410e+00 1.1306687776131406e+00 1.6112543445952576e+00 3.3374905994109155e-01
155 1.4233530545281606e-01 -8.9866975039445351e-01 1.2465506825255090e+00 1.0517526602583844e+00 1.8955511116237773e+00 4.4480404655729722e-01
156 1.6447493921709813e-01 -8.6220782586846123e-01 1.1427745856367402e+00 9.6220303946361263e-01 2.1227105075214592e+00 5.4671014431577303e-01
157 1.8435812721340078e-01 -8.2477084962782554e-01 1.0554096825888908e+00 8.6346436419151218e-01 2.2936017522502703e+00 6.3842278505178962e-01
158 2.0244072745077171e-01 -7.8845457678569553e-01 9.8593243606297987e-01 7.5710884912831422e-01 2.4133871683115857e+00 7.1907562599358499e-01
159 2.1940501082768737e-01 -7.5519700070325435e-01 9.3373900456128367e-01 6.4480699695496924e-01 2.4906861886664324e+00 7.8799336221822514e-01
160 2.3610173423908462e-01 -7.2664642056615814e-01 8.9630313012561746e-01 5.2829642241534813e-01 2.5360793664770491e+00 8.4470002943831068e-01
161 2.5347420632771905e-01 -7.0405169278653168e-01 8.6981843563507655e-01 4.0934976463708322e-01 2.5602554598400609e+00 8.8892267881197506e-01
162 2.7247068312146505e-01 -6.8818238939157794e-01 8.4977487598946932e-01 2.8974247780508361e-01 2.5721596150963664e+00 9.2059044471921769e-01
163 2.9395256652222607e-01 -6.7928430194166511e-01 8.3103535039969190e-01 1.7122126833498094e-01 2.5775211082687024e+00 9.3982916084320656e-01
164 3.1860639612501518e-01 -6.7707305642543258e-01 8.0746048244663005e-01 5.5473901029363372e-02 2.5780979963221782e+00 9.4695180459903305e-01
165 3.4686747417690034e-01 -6.8076574883762297e-01 7.7157202751433340e-01 -5.5898969885906619e-02 2.5717790629183126e+00 9.4244516074294182e-01
166 3.7886214934644796e-01 -6.8914769131157882e-01 7.1485399687258966e-01 -1.6140937293835919e-01 2.5533848079891657e+00 9.2695318843296148e-01
167 4.1437436673395700e-01 -7.0066878907151320e-01 6.2900922538593518e-01 -2.5970452025014912e-01 2.5158353426302589e+00 9.0125764955542043e-01
168 4.5284017877737731e-01 -7.1356194261627348e-01 5.0792615944441888e-01 -3.4958586888594695e-01 2.4514697327306640e+00 8.6625660820019168e-01
169 4.9337165560804308e-01 -7.2597434531935412e-01 3.4956210956735390e-01 -4.3002448555613376e-01 2.3535417812737420e+00 8.2294144114962464e-01
170 5.3480921486319466e-01 -7.3610173423908476e-01 1.5682051177943004e-01 -5.0017256886166339e-01 2.2178842294794472e+00 7.7237300745974069e-01
171 5.7579900606940015e-01 -7.4231560569423372e-01 -6.3044312144677067e-02 -5.5937109096533999e-01 2.0443437688791581e+00 7.1565761281946283e-01
172 6.1488982902832734e-01 -7.4327412167411533e-01 -3.0021123231296148e-01 -6.0715362113448867e-01 1.8372979307137356e+00 6.5392337326017769e-01
173 6.5064231834779007e-01 -7.3800884416892409e-01 -5.4443408660871373e-01 -6.4324648411028162e-01 1.6048172621296031e+00 5.8829753541737884e-01
174 6.8174193556431950e-01 -7.2598142438967528e-01 -7.8666526043252238e-01 -6.6756548447250130e-01 1.3567229414832900e+00 5.1988524979888517e-01
175 7.0710678118654680e-01 -7.0710678118654835e-01 -1.0196917487582982e+00 -6.8020949253942253e-01 1.1023989222446517e+00 4.4975022252118335e-01
176 7.2598142438967461e-01 -6.8174193556432072e-01 -1.2378833479693239e+00 -6.8145123702386945e-01 8.4933244394807961e-01 3.7889759295761771e-01
177 7.3800884416892398e-01 -6.5064231834779052e-01 -1.4365667388734973e+00 -6.7172568447411363e-01 6.0293036210669992e-01 3.0825930286164333e-01
178 7.4327412167411522e-01 -6.1488982902832778e-01 -1.6116159916958113e+00 -6.5161640587605651e-01 3.6745705717850169e-01 2.3868213976056224e-01
