# i, x, y, real(u), imag(u)
280 7.36956 -12.6561 0.385941 -1.55923
281 7.41199 -12.6517 0.456837 -1.61828
282 7.45384 -12.6449 0.511209 -1.66144
283 7.49371 -12.6374 0.550175 -1.68934
284 7.53046 -12.6309 0.57601 -1.70455
285 7.5633 -12.6269 0.591772 -1.71058
286 7.59181 -12.6271 0.600737 -1.71088
287 7.61592 -12.6327 0.605815 -1.70796
288 7.63599 -12.6445 0.609123 -1.70246
289 7.65264 -12.6628 0.611796 -1.69258
290 7.66676 -12.6875 0.614053 -1.67392
291 7.67939 -12.7181 0.615414 -1.64012
292 7.69165 -12.7534 0.614907 -1.58398
293 7.7046 -12.7918 0.611225 -1.49907
294 7.71917 -12.8316 0.602952 -1.3811
295 7.73612 -12.8708 0.588922 -1.22884
296 7.75592 -12.9072 0.568661 -1.04415
297 7.77875 -12.9389 0.542715 -0.831352
298 7.80454 -12.9643 0.512658 -0.596281
299 7.8329 -12.9818 0.480791 -0.34551
300 7.86326 -12.9906 0.449656 -0.0860376
301 7.89488 -12.9903 0.42155 0.174657
302 7.92693 -12.9811 0.398178 0.428388
303 7.95861 -12.9638 0.380449 0.666394
304 7.98919 -12.9394 0.368401 0.880164
305 8.01812 -12.9097 0.361289 1.0627
306 8.04503 -12.8766 0.357814 1.20981
307 8.06985 -12.8422 0.356494 1.32087
308 8.09273 -12.8087 0.356038 1.39875
309 8.11408 -12.7781 0.355612 1.44901
310 8.13452 -12.7521 0.35488 1.47862
311 8.15482 -12.7321 0.353841 1.49459
312 8.17581 -12.719 0.352556 1.50282
313 8.19831 -12.7131 0.350871 1.50719
314 8.22303 -12.7143 0.348225 1.50917
315 8.25052 -12.7218 0.343626 1.50788
316 8.28107 -12.7345 0.335827 1.50057
317 8.31467 -12.7507 0.323741 1.48307
318 8.35102 -12.7688 0.307003 1.45029
319 8.38947 -12.7866 0.28645 1.39673
320 8.42913 -12.8023 0.264281 1.31718
321 8.46889 -12.8141 0.243763 1.20767
322 8.50748 -12.8204 0.228501 1.06621
323 8.54362 -12.82 0.22151 0.893248
324 8.57607 -12.8124 0.224341 0.691648
325 8.60378 -12.7972 0.236548 0.466549
326 8.62594 -12.7746 0.255668 0.225065
327 8.64211 -12.7454 0.277786 -0.0238898
328 8.65221 -12.7107 0.298551 -0.269924
329 8.65661 -12.6719 0.314388 -0.501998
330 8.65606 -12.6304 0.323436 -0.709745
331 8.65169 -12.588 0.325838 -0.885078
332 8.64494 -12.5462 0.32329 -1.02362
333 8.63743 -12.5063 0.318094 -1.1254
334 8.63087 -12.4695 0.312241 -1.19454
335 8.62694 -12.4367 0.306926 -1.23799
336 8.62715 -12.4082 0.302538 -1.26376
337 8.63271 -12.3841 0.298851 -1.27928
338 8.64446 -12.364 0.295147 -1.29031
339 8.66278 -12.3474 0.290172 -1.30053
340 8.68754 -12.3332 0.282057 -1.31178
341 8.7181 -12.3206 0.268312 -1.32447
342 8.75337 -12.3084 0.245929 -1.33786
343 8.79182 -12.2954 0.211562 -1.35003
344 8.83162 -12.2808 0.16176 -1.35784
345 8.87077 -12.2639 0.0932261 -1.35725
346 8.90719 -12.2441 0.00314107 -1.34409
347 8.93893 -12.2212 -0.110424 -1.31498
348 8.96425 -12.1955 -0.24802 -1.268
349 8.98178 -12.1671 -0.408325 -1.20304
350 8.99061 -12.1367 -0.587765 -1.12163
351 8.99034 -12.1051 -0.780427 -1.02667
352 8.98115 -12.0731 -0.978288 -0.922161
353 8.96376 -12.0414 -1.17188 -0.81296
354 8.93939 -12.0108 -1.35149 -0.704496
355 8.90969 -11.9819 -1.50864 -0.602316
356 8.8766 -11.955 -1.63746 -0.511423
357 8.84223 -11.9302 -1.73561 -0.435461
358 8.80873 -11.9073 -1.80441 -0.376045
359 8.7781 -11.8859 -1.84817 -0.332527
360 8.75211 -11.8655 -1.87297 -0.302383
361 8.7321 -11.8452 -1.88521 -0.281995
362 8.71898 -11.8242 -1.89026 -0.267375
363 8.7131 -11.8017 -1.89127 -0.254452
364 8.71428 -11.777 -1.88858 -0.238904
365 8.7218 -11.7495 -1.87967 -0.215901
366 8.73448 -11.7189 -1.85986 -0.180194
367 8.75075 -11.6853 -1.82332 -0.126795
368 8.76878 -11.649 -1.76429 -0.052141
369 8.78662 -11.6105 -1.67824 0.0447644
370 8.80232 -11.5709 -1.56289 0.161874
371 8.81408 -11.5311 -1.41872 0.294605
372 8.82037 -11.4925 -1.24892 0.43714
373 8.82004 -11.4564 -1.05874 0.58392
374 8.81238 -11.4239 -0.854466 0.730672
375 8.79715 -11.3962 -0.642539 0.874622
376 8.77461 -11.3741 -0.429049 1.01395
377 8.74544 -11.3579 -0.219751 1.14683
378 8.71075 -11.3478 -0.0203512 1.27072
379 8.67189 -11.3434 0.163396 1.38229
380 8.63044 -11.3439 0.325978 1.47803
381 8.58801 -11.3483 0.46287 1.55521
382 8.54616 -11.3551 0.571527 1.61284
383 8.50629 -11.3626 0.652122 1.65194
384 8.46954 -11.3691 0.707651 1.67539
385 8.4367 -11.3731 0.743244 1.68715
386 8.40819 -11.3729 0.76497 1.69135
387 8.38408 -11.3673 0.778616 1.69123
388 8.36401 -11.3555 0.788897 1.68824
389 8.34736 -11.3372 0.799248 1.68136
390 8.33324 -11.3125 0.812034 1.66703
391 8.32061 -11.2819 0.82882 1.63979
392 8.30835 -11.2466 0.850432 1.59348
393 8.2954 -11.2082 0.876769 1.52265
394 8.28083 -11.1684 0.906665 1.42406
395 8.26388 -11.1292 0.938146 1.29755
396 8.24408 -11.0928 0.969141 1.14619
397 8.22125 -11.0611 0.9983 0.975532
398 8.19546 -11.0357 1.02551 0.792333
399 8.1671 -11.0182 1.05188 0.603229
400 12.9074 -7.57983 -0.31223 0.0765601
401 12.8901 -7.55337 -0.334274 0.273609
402 12.8651 -7.53137 -0.354722 0.465486
403 12.8333 -7.51411 -0.371418 0.646509
404 12.7963 -7.50154 -0.382795 0.811209
405 12.7557 -7.49325 -0.388306 0.954653
406 12.7133 -7.48848 -0.388571 1.07313
407 12.671 -7.48616 -0.385103 1.16497
408 12.6304 -7.48501 -0.379725 1.23103
409 12.5931 -7.48359 -0.373973 1.27466
410 12.5602 -7.48044 -0.368766 1.30088
411 12.5324 -7.47417 -0.364395 1.31531
412 12.51 -7.4636 -0.360639 1.32293
413 12.4929 -7.44784 -0.356784 1.32716
414 12.4805 -7.4264 -0.351534 1.3294
415 12.472 -7.3992 -0.342929 1.32913
416 12.4662 -7.36665 -0.328402 1.32437
417 12.4617 -7.32958 -0.304992 1.31235
418 12.4573 -7.28926 -0.269672 1.29018
419 12.4515 -7.24726 -0.219678 1.25549
420 12.4433 -7.2054 -0.152734 1.20712
421 12.4317 -7.1656 -0.0671188 1.14558
422 12.4161 -7.12972 0.0383554 1.07299
423 12.3963 -7.09949 0.164333 0.992506
424 12.3723 -7.07632 0.3107 0.907372
425 12.3446 -7.06124 0.476119 0.820107
426 12.3136 -7.05477 0.657454 0.732144
427 12.2803 -7.05692 0.849265 0.644156
428 12.2457 -7.06716 1.04372 0.556821
429 12.2106 -7.08446 1.23129 0.471563
430 12.176 -7.10732 1.40213 0.390891
431 12.1427 -7.13392 1.5479 0.318056
432 12.1111 -7.16221 1.66344 0.256151
433 12.0816 -7.19007 1.74771 0.207059
434 12.0542 -7.21545 1.80372 0.170818
435 12.0287 -7.2365 1.83734 0.145688
436 12.0046 -7.25172 1.85565 0.128791
437 11.9813 -7.26008 1.86505 0.116816
438 11.9581 -7.26103 1.8699 0.106392
439 11.9342 -7.25461 1.87181 0.0940278
440 11.9089 -7.2414 1.86971 0.075897
441 11.8818 -7.22251 1.8606 0.0478277
442 11.8524 -7.19946 1.8406 0.00567876
443 11.8208 -7.1741 1.80602 -0.0539428
444 11.787 -7.14849 1.75439 -0.132953
445 11.7516 -7.1247 1.68519 -0.231437
446 11.7152 -7.10474 1.60025 -0.347823
447 11.6789 -7.09037 1.50347 -0.479434
448 11.6435 -7.083 1.40005 -0.623067
449 11.6101 -7.08357 1.29539 -0.775333
450 11.5798 -7.09255 1.19405 -0.932653
451 11.5534 -7.10986 1.09907 -1.09107
452 11.5314 -7.13491 1.01195 -1.24598
453 11.5141 -7.16666 0.932994 -1.3922
454 11.5015 -7.20369 0.862059 -1.52433
455 11.4932 -7.24431 0.799118 -1.63766
456 11.4885 -7.2867 0.744552 -1.72896
457 11.4862 -7.32903 0.698943 -1.79719
458 11.485 -7.36958 0.662573 -1.84374
459 11.4836 -7.40689 0.634998 -1.87197
460 11.4804 -7.43981 0.614953 -1.88651
461 11.4742 -7.46761 0.600556 -1.89214
462 11.4636 -7.48999 0.589526 -1.89266
463 11.4478 -7.50709 0.579126 -1.88982
464 11.4264 -7.51946 0.565881 -1.88265
465 11.3992 -7.52798 0.545363 -1.86736
466 11.3666 -7.53382 0.512412 -1.83804
467 11.3296 -7.53829 0.46192 -1.78799
468 11.2893 -7.54275 0.390004 -1.71135
469 11.2473 -7.54852 0.295102 -1.60483
470 11.2054 -7.55674 0.178416 -1.46885
471 11.1656 -7.56832 0.0434974 -1.30803
472 11.1297 -7.58387 -0.104805 -1.13053
473 11.0995 -7.60367 -0.261477 -0.9466
