# i, x, y, real(u), imag(u)
348 8.96425 -12.1955 0.176553 -0.968285
349 8.98178 -12.1671 0.293279 -0.939745
350 8.99061 -12.1367 0.394134 -0.906827
351 8.99034 -12.1051 0.480979 -0.874983
352 8.98115 -12.0731 0.556092 -0.849257
353 8.96376 -12.0414 0.621409 -0.833541
354 8.93939 -12.0108 0.678201 -0.829916
355 8.90969 -11.9819 0.727245 -0.838255
356 8.8766 -11.955 0.769193 -0.856308
357 8.84223 -11.9302 0.805029 -0.880198
358 8.80873 -11.9073 0.836233 -0.905199
359 8.7781 -11.8859 0.864615 -0.926461
360 8.75211 -11.8655 0.891992 -0.939454
361 8.7321 -11.8452 0.919811 -0.940096
362 8.71898 -11.8242 0.948776 -0.924597
363 8.7131 -11.8017 0.978358 -0.889183
364 8.71428 -11.777 1.00635 -0.830532
365 8.7218 -11.7495 1.02904 -0.746079
366 8.73448 -11.7189 1.04148 -0.634564
367 8.75075 -11.6853 1.03849 -0.497283
368 8.76878 -11.649 1.01598 -0.338942
369 8.78662 -11.6105 0.972243 -0.167743
370 8.80232 -11.5709 0.908671 0.00552939
371 8.81408 -11.5311 0.829498 0.169364
372 8.82037 -11.4925 0.740784 0.313672
373 8.82004 -11.4564 0.648989 0.431504
374 8.81238 -11.4239 0.559715 0.519811
375 8.79715 -11.3962 0.477 0.579191
376 8.77461 -11.3741 0.403216 0.612882
377 8.74544 -11.3579 0.339403 0.625493
378 8.71075 -11.3478 0.285703 0.621987
379 8.67189 -11.3434 0.241669 0.607074
380 8.63044 -11.3439 0.206382 0.585034
381 8.58801 -11.3483 0.178537 0.559697
382 8.54616 -11.3551 0.156436 0.534509
383 8.50629 -11.3626 0.138047 0.512395
384 8.46954 -11.3691 0.12106 0.495541
385 8.4367 -11.3731 0.102912 0.485219
386 8.40819 -11.3729 0.080874 0.48174
387 8.38408 -11.3673 0.0521977 0.484516
388 8.36401 -11.3555 0.0144222 0.492071
389 8.34736 -11.3372 -0.0339699 0.501919
390 8.33324 -11.3125 -0.093306 0.51065
391 8.32061 -11.2819 -0.162475 0.51418
392 8.30835 -11.2466 -0.238691 0.50835
393 8.2954 -11.2082 -0.317756 0.489971
394 8.28083 -11.1684 -0.394678 0.457724
395 8.26388 -11.1292 -0.464579 0.412825
396 8.24408 -11.0928 -0.523639 0.358765
397 8.22125 -11.0611 -0.569768 0.300395
398 8.19546 -11.0357 -0.602788 0.242596
399 8.1671 -11.0182 -0.624149 0.189087
400 12.9074 -7.57983 -0.455102 0.528837
401 12.8901 -7.55337 -0.406601 0.595827
402 12.8651 -7.53137 -0.340066 0.671918
403 12.8333 -7.51411 -0.257341 0.750927
404 12.7963 -7.50154 -0.161103 0.826075
405 12.7557 -7.49325 -0.0555932 0.890897
406 12.7133 -7.48848 0.0531175 0.940333
407 12.671 -7.48616 0.157609 0.97179
408 12.6304 -7.48501 0.250245 0.98576
409 12.5931 -7.48359 0.32452 0.985706
410 12.5602 -7.48044 0.376064 0.977146
411 12.5324 -7.47417 0.402948 0.966212
412 12.51 -7.4636 0.40541 0.958014
413 12.4929 -7.44784 0.385075 0.955504
414 12.4805 -7.4264 0.345158 0.958613
415 12.472 -7.3992 0.289961 0.964454
416 12.4662 -7.36665 0.224566 0.968139
417 12.4617 -7.32958 0.154658 0.964058
418 12.4573 -7.28926 0.0859295 0.94732
419 12.4515 -7.24726 0.0233328 0.914994
420 12.4433 -7.2054 -0.0295454 0.866838
421 12.4317 -7.1656 -0.0707824 0.805333
422 12.4161 -7.12972 -0.10002 0.735012
423 12.3963 -7.09949 -0.118053 0.661313
424 12.3723 -7.07632 -0.126298 0.589344
425 12.3446 -7.06124 -0.126364 0.522851
426 12.3136 -7.05477 -0.119825 0.463706
427 12.2803 -7.05692 -0.108244 0.411863
428 12.2457 -7.06716 -0.0933387 0.365822
429 12.2106 -7.08446 -0.0771486 0.323354
430 12.176 -7.10732 -0.0620278 0.282361
431 12.1427 -7.13392 -0.050378 0.241603
432 12.1111 -7.16221 -0.0441215 0.201083
433 12.0816 -7.19007 -0.0440733 0.161935
434 12.0542 -7.21545 -0.049485 0.125895
435 12.0287 -7.2365 -0.0579952 0.0945867
436 12.0046 -7.25172 -0.0661379 0.0689065
437 11.9813 -7.26008 -0.0700539 0.048606
438 11.9581 -7.26103 -0.0666388 0.0324183
439 11.9342 -7.25461 -0.0538305 0.0180671
440 11.9089 -7.2414 -0.031351 0.00285703
441 11.8818 -7.22251 -0.000260049 -0.015689
442 11.8524 -7.19946 0.0373364 -0.039151
443 11.8208 -7.1741 0.078834 -0.067838
444 11.787 -7.14849 0.12171 -0.100868
445 11.7516 -7.1247 0.164023 -0.136724
446 11.7152 -7.10474 0.204728 -0.174014
447 11.6789 -7.09037 0.243759 -0.212072
448 11.6435 -7.083 0.281908 -0.25111
449 11.6101 -7.08357 0.320598 -0.291873
450 11.5798 -7.09255 0.361612 -0.33497
451 11.5534 -7.10986 0.406757 -0.380157
452 11.5314 -7.13491 0.45744 -0.425744
453 11.5141 -7.16666 0.514235 -0.468575
454 11.5015 -7.20369 0.576448 -0.504397
455 11.4932 -7.24431 0.641973 -0.528786
456 11.4885 -7.2867 0.707599 -0.538319
457 11.4862 -7.32903 0.769796 -0.531707
458 11.485 -7.36958 0.825735 -0.510459
459 11.4836 -7.40689 0.874127 -0.478803
460 11.4804 -7.43981 0.915463 -0.44294
461 11.4742 -7.46761 0.951682 -0.409663
462 11.4636 -7.48999 0.984586 -0.385529
463 11.4478 -7.50709 1.0156 -0.374847
464 11.4264 -7.51946 1.04306 -0.380574
465 11.3992 -7.52798 1.06317 -0.402811
466 11.3666 -7.53382 1.07021 -0.439581
467 11.3296 -7.53829 1.05841 -0.486946
468 11.2893 -7.54275 1.02414 -0.539618
469 11.2473 -7.54852 0.967859 -0.591872
470 11.2054 -7.55674 0.894912 -0.638637
471 11.1656 -7.56832 0.814968 -0.676401
472 11.1297 -7.58387 0.74023 -0.703549
473 11.0995 -7.60367 0.683152 -0.719996
474 11.0763 -7.62766 0.654361 -0.726303
475 11.0612 -7.65544 0.661151 -0.722698
476 11.0548 -7.68639 0.706656 -0.708339
477 11.0569 -7.71966 0.789552 -0.681182
478 11.0672 -7.75432 0.904091 -0.638527
479 11.0845 -7.78939 1.04063 -0.578103
480 11.1073 -7.82397 1.18681 -0.499343
481 11.1339 -7.85732 1.32942 -0.404425
482 11.1622 -7.88889 1.45672 -0.298616
483 11.1901 -7.91838 1.56046 -0.189777
484 11.2154 -7.94576 1.63702 -0.0871515
485 11.2365 -7.97127 1.68707 0.000116764
486 11.2517 -7.99537 1.71417 0.0643666
487 11.2601 -8.01867 1.72221 0.100341
488 11.261 -8.0419 1.71424 0.105573
489 11.2546 -8.0658 1.69027 0.0808226
490 11.2414 -8.09106 1.64837 0.0302358
491 11.2225 -8.11821 1.58518 -0.0395672
492 11.1995 -8.14758 1.49813 -0.120087
493 11.1741 -8.17925 1.38726 -0.202093
494 11.1485 -8.21302 1.25637 -0.277037
495 11.1247 -8.24843 1.11297 -0.338393
496 11.1047 -8.28477 0.967052 -0.38256
497 11.0904 -8.32114 0.829212 -0.409052
498 11.083 -8.35651 0.708867 -0.419941
499 11.0836 -8.38985 0.613035 -0.418812
500 11.0926 -8.42017 0.54586 -0.409545
501 11.1099 -8.44663 0.508472 -0.395356
502 11.1349 -8.46863 0.499126 -0.378219
503 11.1667 -8.48589 0.513271 -0.358856
504 11.2037 -8.49846 0.543841 -0.337175
505 11.2443 -8.50675 0.582027 -0.313003
506 11.2867 -8.51152 0.618675 -0.286826
507 11.329 -8.51384 0.646094 -0.260232
508 11.3696 -8.51499 0.659689 -0.235842
509 11.4069 -8.51641 0.658738 -0.216806
510 11.4398 -8.51956 0.645979 -0.206092
511 11.4676 -8.52583 0.626066 -0.205869
512 11.49 -8.5364 0.603939 -0.21711
513 11.5071 -8.55216 0.582626 -0.239519
514 11.5195 -8.5736 0.563329 -0.271117
515 11.528 -8.6008 0.544907 -0.308552
516 11.5338 -8.63335 0.525111 -0.347562
517 11.5383 -8.67042 0.501866 -0.383588
518 11.5427 -8.71074 0.474433 -0.41272
519 11.5485 -8.75274 0.444044 -0.432554
520 11.5567 -8.7946 0.413807 -0.442627
521 11.5683 -8.8344 0.387935 -0.444275
522 11.5839 -8.87028 0.370628 -0.439985
523 11.6037 -8.90051 0.365017 -0.4325
524 11.6277 -8.92368 0.372497 -0.424031
525 11.6554 -8.93876 0.392541 -0.415719
526 11.6864 -8.94523 0.422841 -0.407582
527 11.7197 -8.94308 0.459699 -0.398704
528 11.7543 -8.93284 0.498508 -0.38779
529 11.7894 -8.91554 0.53441 -0.373783
530 11.824 -8.89268 0.563099 -0.356392
531 11.8573 -8.86608 0.581662 -0.336314
532 11.8889 -8.83779 0.589233 -0.315005
533 11.9184 -8.80993 0.587199 -0.29406
534 11.9458 -8.78455 0.578835 -0.27448
535 11.9713 -8.7635 0.568434 -0.25608
536 11.9954 -8.74828 0.56027 -0.237569
537 12.0187 -8.73992 0.557266 -0.216215
538 12.0419 -8.73897 0.560808 -0.190131
539 12.0658 -8.74539 0.569377 -0.156726
540 12.0911 -8.7586 0.579598 -0.114888
541 12.1182 -8.77749 0.58676 -0.0644196
542 12.1476 -8.80054 0.586032 -0.00627846
543 12.1792 -8.8259 0.573597 0.0578385
544 12.213 -8.85151 0.547437 0.126064
545 12.2484 -8.8753 0.50754 0.197007
546 12.2848 -8.89526 0.45558 0.270196
547 12.3211 -8.90963 0.394271 0.346175
548 12.3565 -8.917 0.326696 0.426203
549 12.3899 -8.91643 0.255851 0.511687
550 12.4202 -8.90745 0.184544 0.603488
551 12.4466 -8.89014 0.115519 0.701338
552 12.4686 -8.86509 0.0517358 0.803399
553 12.4859 -8.83334 -0.00350809 0.90618
554 12.4985 -8.79631 -0.0467878 1.0049
555 12.5068 -8.75569 -0.0751306 1.09427
556 12.5115 -8.7133 -0.0868071 1.16961
557 12.5138 -8.67097 -0.0820611 1.22789
558 12.515 -8.63042 -0.0634811 1.26859
559 12.5164 -8.59311 -0.0358416 1.29376
560 12.5196 -8.56019 -0.00546343 1.30748
561 12.5258 -8.53239 0.0207428 1.31468
562 12.5364 -8.51001 0.0360566 1.31997
563 12.5522 -8.49291 0.034636 1.32536
564 12.5736 -8.48054 0.0119456 1.33058
565 12.6008 -8.47202 -0.0346259 1.33206
566 12.6334 -8.46618 -0.105552 1.32407
567 12.6704 -8.46171 -0.198522 1.30008
568 12.7107 -8.45725 -0.308185 1.25478
569 12.7527 -8.45148 -0.426648 1.18575
570 12.7946 -8.44326 -0.544777 1.09449
571 12.8344 -8.43168 -0.653888 0.98635
572 12.8703 -8.41613 -0.747131 0.869594
573 12.9005 -8.39633 -0.820038 0.753774
574 12.9237 -8.37234 -0.870163 0.648163
575 12.9388 -8.34456 -0.89616 0.560467
576 12.9452 -8.31361 -0.896827 0.495908
577 12.9431 -8.28034 -0.870597 0.456684
578 12.9328 -8.24568 -0.815844 0.441695
579 12.9155 -8.21061 -0.731886 0.446633
580 12.8927 -8.17603 -0.620317 0.464692
