# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
140 -2.3610173423908479e-01 -7.2664642056615780e-01 2.0712380538385711e+00 8.1318159124359446e-01 -1.4820104126538731e+00 -3.7053369198321240e-01
141 -2.1940501082768757e-01 -7.5519700070325391e-01 2.0340354525514854e+00 9.1692668935213861e-01 -1.4687686158522781e+00 -3.4856116625975148e-01
142 -2.0244072745077141e-01 -7.8845457678569619e-01 1.9812421120422785e+00 1.0097658294993037e+00 -1.4440253976752560e+00 -3.2432520456973635e-01
143 -1.8435812721340100e-01 -8.2477084962782510e-01 1.9085298023135797e+00 1.0903278084516883e+00 -1.3969428278597267e+00 -2.9814234188499628e-01
144 -1.6447493921709838e-01 -8.6220782586846090e-01 1.8127088771197348e+00 1.1573830374813487e+00 -1.3195218618096600e+00 -2.7040999673574934e-01
145 -1.4233530545281631e-01 -8.9866975039445296e-01 1.6920912455342922e+00 1.2098706942256374e+00 -1.2076059066297615e+00 -2.4159696739324640e-01
146 -1.1774501677484508e-01 -9.3204778035913893e-01 1.5462405443080662e+00 1.2469233275923242e+00 -1.0609269280839329e+00 -2.1223113239498534e-01
147 -9.0781403927674073e-02 -9.6036693950480956e-01 1.3752603157890928e+00 1.2678882417609720e+00 -8.8232565735593060e-01 -1.8288465138004281e-01
148 -6.1777462856832610e-02 -9.8192465371815174e-01 1.1790512230534118e+00 1.2723450500675155e+00 -6.7656557361321945e-01 -1.5415706180363162e-01
149 -3.1282042544634611e-02 -9.9541073385818124e-01 9.5705701068625071e-01 1.2601188758147319e+00 -4.4929025106561388e-01 -1.2665675556160322e-01
150 -1.8369701987210297e-16 -1.0000000000000000e+00 7.0880299456100926e-01 1.2312887823504739e+00 -2.0653136269747899e-01 -1.0098139287321539e-01
151 3.1282042544634243e-02 -9.9541073385818124e-01 4.3512913278980048e-01 1.1861911357490078e+00 4.5169222054908677e-02 -7.7697865492568727e-02
152 6.1777462856832235e-02 -9.8192465371815174e-01 1.3965021248137285e-01 1.1254177360334250e+00 2.9831062723955898e-01 -5.7322454733244571e-02
153 9.0781403927674545e-02 -9.6036693950480911e-01 -1.7021014621139113e-01 1.0498086924476129e+00 5.4413130236438656e-01 -4.0301840073870880e-02
154 1.1774501677484478e-01 -9.3204778035913916e-01 -4.8320877483597463e-01 9.6044015983962283e-01 7.7288054747732216e-01 -2.6995600436199023e-02
155 1.4233530545281606e-01 -8.9866975039445351e-01 -7.8558354452482693e-01 8.5860719165830324e-01 9.7483267917382832e-01 -1.7660812810447641e-02
156 1.6447493921709813e-01 -8.6220782586846123e-01 -1.0634481717547968e+00 7.4580209542459552e-01 1.1418497597372479e+00 -1.2439293007408521e-02
157 1.8435812721340078e-01 -8.2477084962782554e-01 -1.3055554830713820e+00 6.2368879421127144e-01 1.2689909694522803e+00 -1.1347943189306122e-02
158 2.0244072745077171e-01 -7.8845457678569553e-01 -1.5054756783621062e+00 4.9407379861705908e-01 1.3555768304659113e+00 -1.4272573590091625e-02
159 2.1940501082768737e-01 -7.5519700070325435e-01 -1.6624594844711782e+00 3.5887447467078765e-01 1.4053022904459240e+00 -2.0965455314198984e-02
160 2.3610173423908462e-01 -7.2664642056615814e-01 -1.7808149004829696e+00 2.2008535165376567e-01 1.4253592420735739e+00 -3.1046741656872046e-02
161 2.5347420632771905e-01 -7.0405169278653168e-01 -1.8682011098164786e+00 7.9743248563377320e-02 1.4248987257582932e+00 -4.4009771681766667e-02
162 2.7247068312146505e-01 -6.8818238939157794e-01 -1.9335550774582599e+00 -6.0107991556983938e-02 1.4133722287582964e+00 -5.9230146565916769e-02
163 2.9395256652222607e-01 -6.7928430194166511e-01 -1.9853200784889986e+00 -1.9745238335437620e-01 1.3992343904958469e+00 -7.5978351079057288e-02
164 3.1860639612501518e-01 -6.7707305642543258e-01 -2.0303228241939464e+00 -3.3033555623141053e-01 1.3891802951312537e+00 -9.3435583754483173e-02
165 3.4686747417690034e-01 -6.8076574883762297e-01 -2.0732510946344007e+00 -4.5689670121172049e-01 1.3877262068922225e+00 -1.1071236355257350e-01
166 3.7886214934644796e-01 -6.8914769131157882e-01 -2.1164505274362244e+00 -5.7539809422088251e-01 1.3968036693767569e+00 -1.2686940116129403e-01
167 4.1437436673395700e-01 -7.0066878907151320e-01 -2.1598164496545511e+00 -6.8425166804683357e-01 1.4152561440628757e+00 -1.4094016178823643e-01
168 4.5284017877737731e-01 -7.1356194261627348e-01 -2.2008152415487459e+00 -7.8204220067425778e-01 1.4385369435911979e+00 -1.5195450480874328e-01
169 4.9337165560804308e-01 -7.2597434531935412e-01 -2.2348429353878267e+00 -8.6754678906525751e-01 1.4591107787372490e+00 -1.5896276452955363e-01
170 5.3480921486319466e-01 -7.3610173423908476e-01 -2.2559908742370780e+00 -9.3975038102079700e-01 1.4677732118973217e+00 -1.6105963537572168e-01
171 5.7579900606940015e-01 -7.4231560569423372e-01 -2.2579594624969124e+00 -9.9785723996884268e-01 1.4554990963501167e+00 -1.5740724302984058e-01
172 6.1488982902832734e-01 -7.4327412167411533e-01 -2.2346988492032094e+00 -1.0412983152167463e+00 1.4150391047624367e+00 -1.4725681881701913e-01
173 6.5064231834779007e-01 -7.3800884416892409e-01 -2.1805441599063746e+00 -1.0697345806763630e+00 1.3416409314043221e+00 -1.2996844577868147e-01
174 6.8174193556431950e-01 -7.2598142438967528e-01 -2.0899985840144075e+00 -1.0830564861597236e+00 1.2328192092363874e+00 -1.0502840886293613e-01
175 7.0710678118654680e-01 -7.0710678118654835e-01 -1.9576165349532844e+00 -1.0813797354671144e+00 1.0876103776859893e+00 -7.2063755677560959e-02
176 7.2598142438967461e-01 -6.8174193556432072e-01 -1.7784712241439260e+00 -1.0650376636462373e+00 9.0593020842136318e-01 -3.0853755388971511e-02
177 7.3800884416892398e-01 -6.5064231834779052e-01 -1.5494337683441775e+00 -1.0345705315471820e+00 6.8848734802492184e-01 1.8661971292405797e-02
